key,module,page,component,slot,text,notes,status
cmdk.empty,ui,CommandPalette,CommandPalette,empty,No matches,,active
cmdk.group.pages,ui,CommandPalette,CommandPalette,group_pages,Pages,,active
cmdk.group.skills,ui,CommandPalette,CommandPalette,group_skills,Skills,,active
cmdk.close,ui,CommandPalette,CommandPalette,close,Close command menu,,active
cmdk.open_aria,ui,CommandPalette,CommandPalette,open_aria,Command menu,,active
skills.dot.synced_aria,ui,SkillsPage,AgentDots,dot_synced_aria,{{agent}}: synced. Click to unsync.,,active
skills.dot.off_aria,ui,SkillsPage,AgentDots,dot_off_aria,{{agent}}: not synced. Click to sync.,,active
skills.dot.orphan_aria,ui,SkillsPage,AgentDots,dot_orphan_aria,{{agent}}: link broken. Click to re-sync.,,active
skills.update.badge,ui,SkillsPage,InstalledSkillRow,update_badge,Update,,active
skills.select.row_aria,ui,SkillsPage,InstalledSkillRow,select_row_aria,Select {{name}},,active
skills.select.toolbar_aria,ui,SkillsPage,BatchToolbar,select_toolbar_aria,Bulk actions,,active
skills.select.count,ui,SkillsPage,BatchToolbar,select_count,{{count}} selected,,active
skills.select.bulk_sync,ui,SkillsPage,BatchToolbar,select_bulk_sync,Sync to,,active
skills.select.bulk_sync_hint,ui,SkillsPage,BatchToolbar,select_bulk_sync_hint,Add agent to all selected,,active
skills.select.bulk_remove,ui,SkillsPage,BatchToolbar,select_bulk_remove,Remove,,active
skills.select.clear,ui,SkillsPage,BatchToolbar,select_clear,Clear,,active
skills.mode.popular,ui,SkillsPage,SkillsPage,mode_popular,Popular,,active
skills.browse.placeholder_popular,ui,SkillsPage,SkillsPage,browse_placeholder_popular,Filter popular skills,,active
skills.empty.popular,ui,SkillsPage,SkillsPage,empty_popular,No popular skills right now.,,active
skills.toast.bulk_synced,ui,SkillsPage,SkillsPage,toast_bulk_synced,Synced {{count}} skills to {{agent}}.,,active
skills.toast.bulk_removed,ui,SkillsPage,SkillsPage,toast_bulk_removed,Removed {{count}} skills.,,active
skills.toast.synced_one,ui,SkillsPage,SkillsPage,toast_synced_one,Synced {{name}} to {{agent}}.,,active
skills.toast.unsynced_one,ui,SkillsPage,SkillsPage,toast_unsynced_one,Unsynced {{name}} from {{agent}}.,,active
skills.toast.updated,ui,SkillsPage,SkillsPage,toast_updated,Updated {{name}}.,,active
skills.confirm.bulk_remove_title,ui,SkillsPage,SkillsPage,confirm_bulk_remove_title,Remove {{count}} skills?,,active
skills.confirm.bulk_remove_desc,ui,SkillsPage,SkillsPage,confirm_bulk_remove_desc,This unsyncs each skill from every agent and deletes its local copy.,,active
skills.update.available,ui,SkillsPage,SkillDetailPanel,update_available,A newer version is available upstream.,,active
skills.update.action,ui,SkillsPage,SkillDetailPanel,update_action,Update,,active
skills.usage.section_title,ui,SkillsPage,SkillDetailPanel,usage_section_title,Activity,,active
skills.usage.invocations,ui,SkillsPage,SkillDetailPanel,usage_invocations,Invocations,,active
skills.usage.cost,ui,SkillsPage,SkillDetailPanel,usage_cost,Est. cost,,active
skills.usage.never,ui,SkillsPage,SkillDetailPanel,usage_never,Never,,active
skills.usage.last_used,ui,SkillsPage,SkillDetailPanel,usage_last_used,Last used,,active
skills.usage.today,ui,SkillsPage,SkillDetailPanel,usage_today,Today,,active
skills.usage.days_ago,ui,SkillsPage,SkillDetailPanel,usage_days_ago,{{days}}d ago,,active
skills.usage.months_ago,ui,SkillsPage,SkillDetailPanel,usage_months_ago,{{months}}mo ago,,active
skills.usage.unknown,ui,SkillsPage,SkillDetailPanel,usage_unknown,Unknown,,active
skills.usage.unused,ui,SkillsPage,SkillDetailPanel,usage_unused,Not invoked yet. Possible dead weight if you never use it.,,active
skills.usage.disclaimer,ui,SkillsPage,SkillDetailPanel,usage_disclaimer,Counts from Claude transcripts. Cost is the approximate spend of turns that invoked this skill.,,active
app.meta.title,app,*,*,meta_title,TokenTracker,Local dashboard <title>; replaces the removed landing.meta.* keys,active
app.meta.description,app,*,*,meta_description,See how many tokens your AI coding tools use — locally.,,active
app.meta.og_site_name,app,*,*,meta_og_site_name,TokenTracker,,active
app.meta.og_type,app,*,*,meta_og_type,website,,active
app.meta.twitter_card,app,*,*,meta_twitter_card,summary,,active
dashboard.ingestHealth.suppressed.title,dashboard,DashboardPage,IngestHealthNotice,title,Some Claude usage is not being recorded,,active
dashboard.ingestHealth.suppressed.body,dashboard,DashboardPage,IngestHealthNotice,body,"{{count}} running Claude CLI session(s) ({{models}}) write no session transcript. TokenTracker reads Claude usage from transcript files, so tokens from these sessions are not counted.",,active
dashboard.ingestHealth.suppressed.bodyNoModel,dashboard,DashboardPage,IngestHealthNotice,body_no_model,"{{count}} running Claude CLI session(s) write no session transcript. TokenTracker reads Claude usage from transcript files, so tokens from these sessions are not counted.",,active
dashboard.ingestHealth.suppressed.remedy,dashboard,DashboardPage,IngestHealthNotice,remedy,"The tool that launched Claude chose this, not TokenTracker. Run tokentracker doctor for details.",,active
